,BLK_NO,ROAD_NAME,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE,MRT,Opening Date
155,70,WOODLANDS AVENUE 7,70 WOODLANDS AVENUE 7 ADMIRALTY MRT STATION (NS10) SINGAPORE 738344,738344,24402.3866267931,46918.506801948,1.44058856161847,103.800990519771,ADMIRALTY,1996-02-10
115,81,LORONG 25 GEYLANG,81 LORONG 25 GEYLANG ALJUNIED MRT STATION (EW9) SINGAPORE 388310,388310,33518.6048692847,33190.002017457,1.3164326118157,103.882906044385,ALJUNIED,1989-11-04
122,2795,ANG MO KIO AVENUE 8,2795 ANG MO KIO AVENUE 8 ANG MO KIO MRT STATION (NS16) SINGAPORE 569812,569812,29807.2611468043,39105.7359950263,1.36993284962262,103.84955809232,ANG MO KIO,1987-11-07
148,90,BARTLEY ROAD,90 BARTLEY ROAD BARTLEY MRT STATION (CC12) SINGAPORE 539788,539788,33214.9339675205,36072.5255325548,1.34250117805245,103.880177899184,BARTLEY,2009-05-28
11,11,BAYFRONT AVENUE,11 BAYFRONT AVENUE BAYFRONT MRT STATION (DT16 / CE1) SINGAPORE 018957,018957,30867.0092712184,29368.6250332333,1.28187378879209,103.859079764874,BAYFRONT,2012-01-14
55,101,UPPER BUKIT TIMAH ROAD,101 UPPER BUKIT TIMAH ROAD BEAUTY WORLD MRT STATION (DT5) SINGAPORE 588216,588216,21598.1664763764,35931.2358860858,1.34122317558549,103.775794285083,BEAUTY WORLD,2015-12-27
131,315,NEW UPPER CHANGI ROAD,315 NEW UPPER CHANGI ROAD BEDOK MRT STATION (EW5) SINGAPORE 467347,467347,38757.952049505,34024.7047772072,1.32397996868158,103.929984495066,BEDOK,1989-11-04
142,651,BEDOK NORTH ROAD,651 BEDOK NORTH ROAD BEDOK NORTH MRT STATION (DT29) SINGAPORE 479481,479481,37421.7438196167,35214.6803870108,1.33474211664091,103.91797832995,BEDOK NORTH,2017-10-21
123,371,BEDOK NORTH AVENUE 3,371 BEDOK NORTH AVENUE 3 BEDOK RESERVOIR MRT STATION (DT30) SINGAPORE 469724,469724,39008.3131622663,35421.0408713054,1.33660782955099,103.932234623286,BEDOK RESERVOIR,2017-10-21
92,31,BENCOOLEN STREET,31 BENCOOLEN STREET BENCOOLEN MRT STATION (DT21) SINGAPORE 189658,189658,29895.8639496444,31253.3258734122,1.29891843369422,103.850353762717,BENCOOLEN,2017-10-21
58,11,KALLANG BAHRU,11 KALLANG BAHRU BENDEMEER MRT STATION (DT23) SINGAPORE 339356,339356,31300.7676084097,32884.7709222045,1.31367252847691,103.862977620945,BENDEMEER,2017-10-21
85,17,BISHAN PLACE,17 BISHAN PLACE BISHAN MRT STATION (CC15) SINGAPORE 579842,579842,29760.7755471431,37047.1573323701,1.35131580146658,103.84914026532,BISHAN,1987-11-07
133,900,SERANGOON ROAD,900 SERANGOON ROAD BOON KENG MRT STATION (NE9) SINGAPORE 328260,328260,31144.045013207,33510.9746132698,1.31933570922514,103.861569454156,BOON KENG,2003-06-20
128,301,BOON LAY WAY,301 BOON LAY WAY BOON LAY MRT STATION (EW27) SINGAPORE 649846,649846,13837.9827195406,35641.9191215802,1.33860405469845,103.706064622772,BOON LAY,1990-07-06
54,100,CLUNY PARK ROAD,100 CLUNY PARK ROAD BOTANIC GARDENS MRT STATION (CC19) SINGAPORE 257494,257494,25959.6005048994,33818.1442215387,1.32211373558877,103.814984510627,BOTANIC GARDENS,2015-12-27
41,377,LORONG 1 TOA PAYOH,377 LORONG 1 TOA PAYOH BRADDELL MRT STATION (NS18) SINGAPORE 319756,319756,29500.2349482412,35847.7719815206,1.3404690010277,103.846799083148,BRADDELL,1987-11-07
90,65,BRAS BASAH ROAD,65 BRAS BASAH ROAD BRAS BASAH MRT STATION (CC2) SINGAPORE 189561,189561,29930.7673842637,31025.9015965667,1.29686168649656,103.850667371637,BRAS BASAH,2010-04-17
53,100,SIN MING AVENUE,100 SIN MING AVENUE BRIGHT HILL MRT STATION (TE7) SINGAPORE 575737,575737,27952.7070973367,38370.443887597,1.36328318545185,103.832893619992,BRIGHT HILL,2021-08-28
160,,NIL,BUANGKOK MRT STATION EXIT B,NIL,34693.3281394122,40511.9817967266,1.38264972279052,103.893463151692,BUANGKOK,2006-01-15
88,220,VICTORIA STREET,220 VICTORIA STREET BUGIS MRT STATION (EW12) SINGAPORE 188022,188022,30491.6000699066,31424.3512713723,1.30046508509717,103.855706730933,BUGIS,1989-11-04
46,10,BUKIT BATOK CENTRAL,10 BUKIT BATOK CENTRAL BUKIT BATOK MRT STATION (NS2) SINGAPORE 659958,659958,18679.3223191258,36794.9260214306,1.34903331201636,103.749566478309,BUKIT BATOK,1990-03-10
144,802,BUKIT BATOK WEST AVENUE 5,802 BUKIT BATOK WEST AVENUE 5 BUKIT GOMBAK MRT STATION (NS3) SINGAPORE 659083,659083,18926.9127006577,37854.0358848721,1.35861159094192,103.751790910733,BUKIT GOMBAK,1990-03-10
154,950,UPPER BUKIT TIMAH ROAD,950 UPPER BUKIT TIMAH ROAD BUKIT PANJANG MRT STATION (DT1) SINGAPORE 678213,678213,20011.3981217332,40108.6837660205,1.37900211641036,103.761535114929,BUKIT PANJANG,2015-12-27
51,100,NORTH BUONA VISTA ROAD,100 NORTH BUONA VISTA ROAD BUONA VISTA MRT STATION (EW21) SINGAPORE 139345,139345,23207.2578019593,32171.7150982097,1.3072237082044,103.790253514502,BUONA VISTA,1988-03-12
1,1,TOA PAYOH LINK,1 TOA PAYOH LINK CALDECOTT MRT STATION (TE9) SINGAPORE 297608,297608,28761.5758000361,35491.3431366347,1.33724561271722,103.840161782075,CALDECOTT,2011-10-08
66,11,CANBERRA LINK,11 CANBERRA LINK CANBERRA MRT STATION (NS12) SINGAPORE 756972,756972,27597.5969376964,47193.6008830499,1.44307664075699,103.829702590959,CANBERRA,2019-11-02
3,1,CASHEW ROAD,1 CASHEW ROAD CASHEW MRT STATION (DT2) SINGAPORE 679696,679696,20334.5589111606,39092.8585418891,1.36981544925552,103.76443921414,CASHEW,2015-12-27
156,70,AIRPORT BOULEVARD,70 AIRPORT BOULEVARD CHANGI AIRPORT MRT STATION (CG2) SINGAPORE 819661,819661,45201.320394692,37729.1933764666,1.35747897447692,103.98788356959,CHANGI AIRPORT,2002-02-08
29,91,UPPER CROSS STREET,91 UPPER CROSS STREET CHINATOWN MRT STATION (DT19) SINGAPORE 058362,058362,29316.0490006926,29628.4789423887,1.28422391919085,103.845143798953,CHINATOWN,2003-06-20
81,151,BOON LAY WAY,151 BOON LAY WAY CHINESE GARDEN MRT STATION (EW25) SINGAPORE 609959,609959,16790.7466322081,36056.3018932827,1.34235282081401,103.732596738363,CHINESE GARDEN,1988-11-05
47,10,CHOA CHU KANG AVENUE 4,10 CHOA CHU KANG AVENUE 4 CHOA CHU KANG MRT STATION (NS4) SINGAPORE 689810,689810,18101.2472041463,40812.1216052417,1.38536316540225,103.744370779756,CHOA CHU KANG,1990-03-10
78,150,NORTH BRIDGE ROAD,150 NORTH BRIDGE ROAD CITY HALL MRT STATION (EW13 / NS25) SINGAPORE 179100,179100,30144.2503791479,30591.9008128252,1.29293672227779,103.852585580366,CITY HALL,1987-12-12
32,10,EU TONG SEN STREET,10 EU TONG SEN STREET CLARKE QUAY MRT STATION (NE5) SINGAPORE 059815,059815,29473.1249443376,30088.7037861496,1.28838602407588,103.846555209694,CLARKE QUAY,2003-06-20
71,3150,COMMONWEALTH AVENUE WEST,3150 COMMONWEALTH AVENUE WEST CLEMENTI MRT STATION (EW23) SINGAPORE 129580,129580,20418.1055078562,33044.4944669213,1.31511625277378,103.765191452888,CLEMENTI,1988-03-12
75,375,COMMONWEALTH AVENUE,375 COMMONWEALTH AVENUE COMMONWEALTH MRT STATION (EW20) SINGAPORE 149735,149735,24094.7951433668,31649.5989169721,1.30250199924325,103.798228523336,COMMONWEALTH,1988-03-12
102,201,OLD AIRPORT ROAD,201 OLD AIRPORT ROAD DAKOTA MRT STATION (CC8) SINGAPORE 397973,397973,34204.0252977135,32318.1744557619,1.30854798388121,103.889064718377,DAKOTA,2010-04-17
63,11,ORCHARD ROAD,11 ORCHARD ROAD DHOBY GHAUT MRT STATION (NS24) SINGAPORE 238826,238826,29423.9804536467,31229.3163704202,1.29870132536119,103.846113677951,DHOBY GHAUT,1987-12-12
73,200,COMMONWEALTH AVENUE WEST,200 COMMONWEALTH AVENUE WEST DOVER MRT STATION (EW22) SINGAPORE 138677,138677,21914.5509301452,32634.1186314393,1.31140529320963,103.778637841909,DOVER,2001-10-18
13,15,CENTRAL BOULEVARD,15 CENTRAL BOULEVARD DOWNTOWN MRT STATION (DT17) SINGAPORE 018969,018969,30172.6688074525,29100.2087655049,1.27944638178916,103.852840829581,DOWNTOWN,2013-12-22
91,90,BRAS BASAH ROAD,90 BRAS BASAH ROAD ESPLANADE MRT STATION (CC3) SINGAPORE 189562,189562,30421.9934839159,30671.6277715843,1.2936577245386,103.855081226245,ESPLANADE,2010-04-17
126,30,EUNOS CRESCENT,30 EUNOS CRESCENT EUNOS MRT STATION (EW7) SINGAPORE 409423,409423,35779.9883453855,33560.5858968049,1.31978354916088,103.903225807255,EUNOS,1989-11-04
20,2,EXPO DRIVE,2 EXPO DRIVE EXPO MRT STATION (DT35) SINGAPORE 485985,485985,42362.6034600167,35285.7083877847,1.33538252614956,103.962374747451,EXPO,2001-01-10
107,250,RACE COURSE ROAD,250 RACE COURSE ROAD FARRER PARK MRT STATION (NE8) SINGAPORE 218703,218703,30243.5206485614,32689.3795552086,1.31190557325774,103.853477716509,FARRER PARK,2003-06-20
120,71,FARRER ROAD,71 FARRER ROAD FARRER ROAD MRT STATION (CC20) SINGAPORE 268857,268857,25113.2011973979,33301.2602245007,1.31743915158967,103.807379214161,FARRER ROAD,2011-10-08
87,170,RIVER VALLEY ROAD,170 RIVER VALLEY ROAD FORT CANNING MRT STATION (DT20) SINGAPORE 179038,179038,29225.6276065866,30541.6087720692,1.29248194822996,103.844331362465,FORT CANNING,2017-10-21
14,11,MARINA MALL,11 MARINA MALL GARDENS BY THE BAY MRT STATION (TE22) SINGAPORE 019396,019396,31799.0721787345,28994.1708776113,1.27848725876303,103.867454664421,GARDENS BY THE BAY,2022-11-13
135,541,KALLANG BAHRU,541 KALLANG BAHRU GEYLANG BAHRU MRT STATION (DT24) SINGAPORE 339355,339355,32262.8612591857,33728.3126899004,1.32130110228321,103.871622627142,GEYLANG BAHRU,2017-10-21
114,351,RIVER VALLEY ROAD,351 RIVER VALLEY ROAD GREAT WORLD MRT STATION (TE15) SINGAPORE 238384,238384,28044.7678659763,30703.7324468214,1.29394816169384,103.833720837731,GREAT WORLD,2022-11-13
152,7A,TUAS ROAD,7A TUAS ROAD GUL CIRCLE MRT STATION (EW30) SINGAPORE 637288,637288,8770.35150132887,33526.5733700171,1.31947090075208,103.660530461345,GUL CIRCLE,2017-06-18
38,81,TELOK BLANGAH ROAD,81 TELOK BLANGAH ROAD HARBOURFRONT MRT STATION (NE1 / CC29) SINGAPORE 098867,098867,26688.0367021402,27545.8534260485,1.26538938374901,103.821530157095,HARBOURFRONT,2003-06-20
67,110,ZION ROAD,110 ZION ROAD HAVELOCK MRT STATION (TE16) SINGAPORE 168604,168604,28029.7436560951,30101.8822241165,1.28850523975311,103.833585838226,HAVELOCK,2022-11-13
68,270,PASIR PANJANG ROAD,270 PASIR PANJANG ROAD HAW PAR VILLA MRT STATION (CC25) SINGAPORE 117396,117396,22261.1431040755,29445.802035436,1.28257135772488,103.781752725064,HAW PAR VILLA,2011-10-08
145,510,UPPER BUKIT TIMAH ROAD,510 UPPER BUKIT TIMAH ROAD HILLVIEW MRT STATION (DT3) SINGAPORE 678211,678211,20666.0675499607,38266.7898455672,1.36234486803558,103.767418254007,HILLVIEW,2015-12-27
100,200,HOLLAND AVENUE,200 HOLLAND AVENUE HOLLAND VILLAGE MRT STATION (CC21) SINGAPORE 278995,278995,23891.2152273953,32726.4128267691,1.31224029631595,103.796399122407,HOLLAND VILLAGE,2011-10-08
147,80,HOUGANG CENTRAL,80 HOUGANG CENTRAL HOUGANG MRT STATION (NE14) SINGAPORE 538758,538758,34572.8752453458,39256.1282835789,1.37129226620797,103.892380513029,HOUGANG,2003-06-20
104,90,JALAN BESAR,90 JALAN BESAR JALAN BESAR MRT STATION (DT22) SINGAPORE 208826,208826,30445.8529787809,31944.7496234626,1.3051713878069,103.855295713435,JALAN BESAR,2017-10-21
151,91,JOO KOON CIRCLE,91 JOO KOON CIRCLE JOO KOON MRT STATION (EW29) SINGAPORE 629116,629116,10756.3379743481,34438.2617777772,1.3277170408447,103.678374996165,JOO KOON,2009-02-28
45,10,JURONG EAST STREET 12,10 JURONG EAST STREET 12 JURONG EAST MRT STATION (EW24 / NS1) SINGAPORE 609690,609690,17869.0570516568,35038.9688695427,1.33315281585758,103.742286332403,JURONG EAST,1988-11-05
40,30,KAKI BUKIT AVENUE 1,30 KAKI BUKIT AVENUE 1 KAKI BUKIT MRT STATION (DT28) SINGAPORE 415804,415804,36362.3782825153,35239.5522551257,1.33496735995428,103.908459338046,KAKI BUKIT,2017-10-21
28,5,SIMS AVENUE,5 SIMS AVENUE KALLANG MRT STATION (EW10) SINGAPORE 387405,387405,32236.6038438473,32643.3302382641,1.31148890998818,103.871386541754,KALLANG,1989-11-04
140,55,SIMS AVENUE EAST,55 SIMS AVENUE EAST KEMBANGAN MRT STATION (EW6) SINGAPORE 416551,416551,36861.9614935443,33699.3440501876,1.3210381335934,103.912947930851,KEMBANGAN,1989-11-04
70,301,SOUTH BUONA VISTA ROAD,301 SOUTH BUONA VISTA ROAD KENT RIDGE MRT STATION (CC24) SINGAPORE 118177,118177,22575.0107144611,30657.9332947638,1.29353349887123,103.784572738173,KENT RIDGE,2011-10-08
93,201,YISHUN AVENUE 2,201 YISHUN AVENUE 2 KHATIB MRT STATION (NS14) SINGAPORE 769092,769092,27962.3108561579,44352.5679935999,1.41738337009565,103.832979908243,KHATIB,1988-12-20
15,2,BLACKMORE DRIVE,2 BLACKMORE DRIVE KING ALBERT PARK MRT STATION (DT6) SINGAPORE 599987,599987,22444.4895690959,35316.2479055841,1.33566161262214,103.783399113441,KING ALBERT PARK,2015-12-27
146,900,UPPER SERANGOON ROAD,900 UPPER SERANGOON ROAD KOVAN MRT STATION (NE13) SINGAPORE 534799,534799,33758.7578018578,38027.2794417515,1.36017917065237,103.885064856353,KOVAN,2003-06-20
158,960,WOODLANDS ROAD,960 WOODLANDS ROAD KRANJI MRT STATION (NS7) SINGAPORE 738702,738702,20078.5865077013,45204.5168451127,1.42508698073648,103.762137459497,KRANJI,1996-02-10
